3 6520 7985 2982
3 262 9670 7992
3 9702 9105 577
1 2007
2 9099 5393
2 4144 3299
2 7904 4772
2 2343 124
2 5317 8875
2 4898 2090
2 8452 2594
2 7329 731
2 6363 3347
2 5864 5419
2 2693 3126
2 1480 9407
2 5739 210
2 6072 2449
2 7003 4987
2 8606 4808
2 7882 5755
2 8070 7341
2 2298 6804
2 3905 4021
2 7314 3365
2 2491 7524
2 2735 1332
2 6462 8041
2 7028 4203
2 881 3831
2 39 816
2 9509 6324
2 3187 1322
2 3864 9600
2 8038 9169
2 6830 168
2 5437 8500
2 4998 5202
2 6362 1858
2 8160 2442
2 8991 8170
2 3134 6788
2 1817 6547
2 3198 995
2 4303 9028
2 4996 2542
2 6548 8441
2 8732 3555
2 9503 8216
2 9011 4151
2 2881 1453
2 9764 7449
2 7182 2638
2 605 4072
2 1107 4802
1 6834
2 2605 6578
2 6740 694
2 558 4123
2 2288 9750
2 9624 3728
2 7476 6193
2 6382 7491
2 6581 8640
2 1773 7241
2 7280 1991
2 8239 4230
2 2204 8411
2 7347 5250
2 7966 3191
2 3508 7930
2 5156 5511
2 5763 6494
2 1721 2254
1 2134
2 264 6192
2 7373 7725
2 8464 7560
2 928 1138
1 2591
2 5426 1204
2 4924 2699
2 9489 9231
2 4301 2110
2 8721 5995
2 4087 5757
2 9100 2194
2 9897 732
2 5377 733
2 9444 1292
2 5321 6227
2 6724 50
2 134 4517
2 3887 9962
2 2787 8739
2 4532 1965
1 3491
2 2984 7411
2 613 5821
2 9751 2283
2 1071 5552
2 4450 3767
2 1594 3371
2 854 5914
2 4184 2286
2 7318 5049
2 3311 2420
2 288 7605
2 3265 6807
2 5625 4901
2 3962 9566
2 8885 7389
2 129 8228
2 8667 2778
2 698 3926
2 3877 8946
2 723 2061
2 1680 2367
2 1725 7701
2 6169 7839
2 8893 4570
2 9451 7194
2 5679 2767
2 4029 7843
2 5997 4745
2 3705 6630
2 1374 6069
2 4135 9867
2 8625 30
2 3256 4786
2 3625 8005
2 631 7215
2 2147 6474
2 6526 7306
2 3215 1764
2 7196 3119
2 2692 4531
2 8565 742
2 5593 4232
2 1188 2768
2 619 8643
2 2122 5358
2 8749 4902
1 1545
2 103 3493
2 8786 4330
2 3630 3598
2 5452 921
2 4148 9070
2 7387 4514
2 1666 9706
2 2918 3247
2 5151 5042
2 2499 3389
2 5833 8058
2 205 4976
2 2959 4181
2 8868 3483
2 5260 4165
2 9663 2850
2 3828 840
2 4647 5942
2 3163 5953
2 7892 1877
2 2863 8257
2 8048 1654
2 1691 5961
2 6108 6163
2 5604 2948
2 2261 2804
2 4220 2708
2 5950 7259
2 7205 6335
2 2382 3327
2 5424 9318
2 171 6485
2 6514 8975
2 5072 9325
2 9447 3660
2 2082 2629
2 8046 1415
1 7937
2 4942 1653
2 2112 5550
2 6181 9437
2 8167 9327
2 9097 3239
2 8736 4597
2 6689 1624
2 6935 1315
2 6102 7897
2 380 5500
2 1586 6545
2 2379 4951
2 7253 5748
2 3749 6933
2 1816 9309
2 3061 6646
2 2512 8186
2 2662 8432
2 2272 8417
2 5619 8446
2 2242 2142
