3 466 8098 6372
3 4032 5383 8216
1 9307
2 516 712
2 5956 1356
2 2634 5143
2 2953 2765
2 3171 3749
2 3578 2101
2 987 8028
2 6215 7952
2 9389 7718
2 6071 9597
2 7780 8778
2 1126 3962
2 4243 2167
2 1724 9351
2 8489 1081
2 5964 8593
2 283 4419
2 224 1669
2 5629 7562
2 8982 1726
2 167 6919
2 6284 2341
2 9177 9489
2 1366 3985
2 6595 5739
2 1073 9669
2 2135 9095
2 7163 6848
2 281 5762
2 7694 5051
2 813 6733
2 6224 8175
2 1215 4730
2 9025 2372
2 3358 720
2 7190 2771
2 9488 3937
2 6055 4346
2 2742 3063
2 105 1047
2 6771 6262
2 2893 2496
2 6190 2012
2 39 2002
2 921 9196
2 5028 4822
2 8680 1146
2 9658 384
2 567 5671
2 4064 7670
2 6492 218
2 1743 5538
2 6002 6142
2 6727 4533
2 5304 2982
2 6280 8108
2 9545 4573
2 1939 7169
2 7109 160
2 8101 5776
2 8976 9017
2 8983 584
2 9184 4134
2 2574 9439
2 5173 6563
2 477 9072
2 853 1983
2 4613 3743
2 6428 5305
2 3032 3883
2 4780 8030
2 6598 1108
2 5760 2235
2 9696 4706
2 6509 495
2 8273 5196
2 9233 1138
2 5477 3114
2 3237 4570
2 851 1528
2 9766 7666
2 347 6865
2 7776 7911
2 772 8285
2 1809 2654
2 5705 8183
2 3508 9038
2 4776 9871
2 5924 5942
2 7003 701
2 1357 3394
2 98 6125
2 8342 6870
2 2245 9510
2 9236 4485
2 1285 2642
2 4029 606
2 5327 2138
2 6263 2096
2 5298 8460
2 6304 9958
2 7877 147
2 7966 4075
2 7850 1489
2 5034 6633
2 3668 7197
2 7956 2034
2 7804 9280
2 9055 9726
2 5827 7727
2 9715 9913
2 7945 2901
2 9874 547
2 7309 861
2 6951 3287
2 8143 626
2 4600 420
2 1519 939
2 3690 6122
2 6469 7237
2 2190 3919
2 5280 830
2 4845 2684
2 3179 8097
2 3081 9228
2 1988 9267
2 3115 9348
2 3980 9860
2 4219 7957
2 6635 7222
2 1566 6616
2 7368 927
2 9813 4499
2 9543 3060
2 7774 155
2 5089 1263
2 2198 796
2 4737 6802
2 5294 7967
2 8150 8398
2 3073 1683
2 1628 4715
2 4980 4405
2 6830 4984
2 4446 1029
2 7560 5364
2 6448 9329
2 4940 7115
2 9026 4339
2 4774 2523
2 5910 8723
2 2401 3138
2 6053 932
2 3090 1996
2 7393 3930
2 8978 9046
2 8995 2997
2 6186 1940
1 7364
2 8825 1409
2 3348 5170
2 5468 6583
2 3193 6582
2 5788 3601
2 3971 2543
2 1044 2836
2 6387 2945
2 1630 9984
2 5816 1312
2 6303 4646
2 4694 3047
1 5453
2 6060 5574
2 933 9523
2 6875 4401
2 8809 4121
2 4076 9287
2 7724 865
2 3181 3700
2 5728 5715
2 9964 8684
2 1624 6312
2 373 693
2 5696 1106
2 9404 5891
2 9434 9796
2 4899 8648
2 5651 7645
2 7258 2948
2 1303 3080
2 2363 5703
2 6233 2253
2 1787 635
2 3155 85
2 6517 1466
2 6525 5452
2 8229 9802
2 2581 4833
2 9029 6696
2 4194 7986
2 4297 1765
2 6754 2598
2 4788 2066
2 9684 208
2 1942 3551
2 3353 5633
2 2931 3166
2 3963 6038
2 8701 8894
2 1436 9427
2 4416 9628
2 6710 6199
2 3579 1042
2 3639 8099
2 4066 1038
2 120 2908
2 2347 9392
2 2437 2757
2 6935 1420
2 6975 2984
2 9114 3411
2 8580 9342
2 5177 2327
2 5379 4408
2 2974 432
2 3284 5482
2 3487 1977
2 4815 2015
2 9347 2147
2 1596 4907
2 9380 7407
2 7690 1710
2 1322 9339
2 5110 5521
2 7427 7987
2 9480 6596
2 4812 3663
2 9237 6980
2 6677 5811
2 450 9086
2 4359 9562
2 1916 9363
2 2017 3222
2 7920 9943
2 2872 9733
2 3056 2899
2 819 722
2 2868 9003
2 8645 2301
2 6388 9942
2 199 9713
2 1230 6576
2 5081 5620
2 5206 7083
2 5025 5559
2 668 9703
2 4320 2942
2 7534 1530
2 1668 2638
2 1562 4873
2 1749 8702
2 2520 4058
2 5199 2411
2 6699 4903
2 207 748
2 1454 754
2 7001 5976
2 8328 1122
2 7064 1398
2 186 9366
2 288 3445
2 2035 1735
2 4976 2191
2 6483 5015
2 8067 6618
2 7227 4951
2 2648 4068
2 3496 9912
2 5171 4803
2 5216 2361
2 9512 4086
2 5061 1132
2 6117 4259
2 8763 4861
2 6548 6072
2 9536 6652
2 316 2168
2 8339 2783
2 2379 8138
2 6747 1016
2 7473 4282
2 8734 1686
2 2992 529
2 5619 8220
2 8755 3441
2 2826 2607
2 2736 441
2 9018 2129
2 3906 3592
2 2099 298
2 5952 3298
2 7948 759
2 4718 5301
2 5536 2795
2 4832 2799
2 9890 2148
2 1178 543
2 7106 1229
2 9808 4420
2 3576 2246
2 7934 7761
2 8065 9619
2 45 2159
2 7662 5826
2 8670 7332
2 7284 8597
2 4529 2909
2 7675 1328
2 7975 8643
2 4088 9814
2 3615 3922
2 6903 3419
2 5875 8852
2 9812 9953
1 2436
2 4054 2947
2 361 1391
2 1718 6320
2 1875 3651
2 5507 2145
2 9930 8780
2 369 8503
2 4670 3213
2 6932 2292
2 6568 9406
2 6856 4971
2 7625 7269
2 2276 9432
2 8243 3288
2 301 4140
2 4067 8180
2 5913 5838
2 2839 3767
2 3534 9609
2 8620 6960
2 354 9253
2 4350 4842
